"fh_evento","Evento"
"2018-03-09 13:23:07","VAL"
"2018-03-09 13:23:04","PET"
"2018-03-09 13:23:04","VAL"
"2018-03-09 13:23:04","PER"
"2018-03-09 13:23:02","PER"
"2018-03-09 13:23:02","VAL"
"2018-03-09 13:23:02","PER"
"2018-03-09 13:23:02","PET"
"2018-03-09 13:23:02","VAL"
"2018-03-09 13:23:02","PER"
"2018-03-09 13:23:02","VAL"
"2018-03-09 13:22:59","VAL"
"2018-03-09 13:22:59","PET"
"2018-03-09 13:22:58","PET"
"2018-03-09 13:22:57","PET"
"2018-03-09 13:22:57","VAL"
"2018-03-09 13:22:56","PET"
"2018-03-09 13:22:55","VAL"
"2018-03-09 13:22:54","VAL"
"2018-03-09 13:22:53","VAL"
"2018-03-09 13:22:53","PET"
"2018-03-09 13:22:53","PET"
"2018-03-09 13:22:53","PET"
"2018-03-09 13:22:51","PER"
"2018-03-09 13:22:51","PET"
"2018-03-09 13:22:51","VAL"
"2018-03-09 13:22:51","VAL"
"2018-03-09 13:22:50","PET"
"2018-03-09 13:22:49","VAL"
"2018-03-09 13:22:48","PET"
"2018-03-09 13:22:48","PET"
"2018-03-09 13:22:47","PER"
"2018-03-09 13:22:47","PET"
"2018-03-09 13:22:47","PET"
"2018-03-09 13:22:47","VAL"
"2018-03-09 13:22:45","PET"
"2018-03-09 13:22:45","VAL"
"2018-03-09 13:22:44","VAL"
"2018-03-09 13:22:43","PET"
"2018-03-09 13:22:42","PET"
"2018-03-09 13:22:42","PET"
"2018-03-09 13:22:42","VAL"
"2018-03-09 13:22:42","VAL"
"2018-03-09 13:22:41","VAL"
"2018-03-09 13:22:40","PET"
"2018-03-09 13:22:40","PET"
"2018-03-09 13:22:40","VAL"
"2018-03-09 13:22:39","PET"
"2018-03-09 13:22:39","VAL"
"2018-03-09 13:22:38","PER"
"2018-03-09 13:22:38","VAL"
"2018-03-09 13:22:37","PET"
"2018-03-09 13:22:37","VAL"
"2018-03-09 13:22:37","PER"
"2018-03-09 13:22:37","PET"
"2018-03-09 13:22:36","PET"
"2018-03-09 13:22:36","PER"
"2018-03-09 13:22:36","VAL"
"2018-03-09 13:22:34","PET"
"2018-03-09 13:22:33","VAL"
"2018-03-09 13:22:33","PET"
"2018-03-09 13:22:33","VAL"
"2018-03-09 13:22:33","PER"
"2018-03-09 13:22:31","PET"
"2018-03-09 13:22:31","VAL"
"2018-03-09 13:22:30","PET"
"2018-03-09 13:22:30","PET"
"2018-03-09 13:22:29","VAL"
"2018-03-09 13:22:29","VAL"
"2018-03-09 13:22:28","PET"
"2018-03-09 13:22:28","VAL"
"2018-03-09 13:22:27","PER"
"2018-03-09 13:22:27","VAL"
"2018-03-09 13:22:27","VAL"
"2018-03-09 13:22:27","PET"
"2018-03-09 13:22:27","PET"
"2018-03-09 13:22:27","PER"
"2018-03-09 13:22:26","PET"
"2018-03-09 13:22:25","PET"
"2018-03-09 13:22:25","VAL"
"2018-03-09 13:22:25","PER"
"2018-03-09 13:22:25","VAL"
"2018-03-09 13:22:24","PET"
"2018-03-09 13:22:24","VAL"
"2018-03-09 13:22:22","PET"
"2018-03-09 13:22:22","PET"
"2018-03-09 13:22:21","VAL"
"2018-03-09 13:22:19","PET"
"2018-03-09 13:22:19","PET"
"2018-03-09 13:22:18","VAL"
"2018-03-09 13:22:18","VAL"
"2018-03-09 13:22:18","PET"
"2018-03-09 13:22:17","VAL"
"2018-03-09 13:22:16","VAL"
"2018-03-09 13:22:16","PER"
"2018-03-09 13:22:16","PET"
"2018-03-09 13:22:16","PET"
"2018-03-09 13:22:15","VAL"
"2018-03-09 13:22:15","VAL"
"2018-03-09 13:22:14","PET"
"2018-03-09 13:22:14","PER"
"2018-03-09 13:22:13","VAL"
"2018-03-09 13:22:13","PET"
"2018-03-09 13:22:12","PET"
"2018-03-09 13:22:12","PER"
"2018-03-09 13:22:12","PET"
"2018-03-09 13:22:12","VAL"
"2018-03-09 13:22:11","PER"
"2018-03-09 13:22:11","VAL"
"2018-03-09 13:22:10","PET"
"2018-03-09 13:22:09","VAL"
"2018-03-09 13:22:09","VAL"
"2018-03-09 13:22:09","PET"
"2018-03-09 13:22:07","VAL"
"2018-03-09 13:22:07","PET"
"2018-03-09 13:22:06","PET"
"2018-03-09 13:22:06","PET"
"2018-03-09 13:22:06","VAL"
"2018-03-09 13:22:05","PET"
"2018-03-09 13:22:05","VAL"
"2018-03-09 13:22:04","PET"
"2018-03-09 13:22:04","VAL"
"2018-03-09 13:22:04","VAL"
"2018-03-09 13:22:03","PET"
"2018-03-09 13:22:03","PET"
"2018-03-09 13:22:02","PET"
"2018-03-09 13:22:01","PET"
"2018-03-09 13:21:59","PET"
"2018-03-09 13:21:57","PET"
"2018-03-09 13:21:57","PET"
"2018-03-09 13:21:57","VAL"
"2018-03-09 13:21:55","VAL"
"2018-03-09 13:21:55","PET"
"2018-03-09 13:21:54","PET"
"2018-03-09 13:21:54","PET"
"2018-03-09 13:21:52","PET"
"2018-03-09 13:21:51","PET"
"2018-03-09 13:21:50","PET"
"2018-03-09 13:21:49","PET"
"2018-03-09 13:21:48","VAL"
"2018-03-09 13:21:47","PET"
"2018-03-09 13:21:47","PET"
"2018-03-09 13:21:45","VAL"
"2018-03-09 13:21:45","PET"
"2018-03-09 13:21:45","PET"
"2018-03-09 13:21:43","PET"
"2018-03-09 13:21:42","PET"
"2018-03-09 13:21:41","PET"
"2018-03-09 13:21:41","PET"
"2018-03-09 13:21:39","VAL"
"2018-03-09 13:21:38","PET"
"2018-03-09 13:21:38","PET"
"2018-03-09 13:21:38","PET"
"2018-03-09 13:21:37","VAL"
"2018-03-09 13:21:36","VAL"
"2018-03-09 13:21:35","VAL"
"2018-03-09 13:21:35","PET"
"2018-03-09 13:21:34","PET"
"2018-03-09 13:21:34","PET"
"2018-03-09 13:21:34","VAL"
"2018-03-09 13:21:32","PET"
"2018-03-09 13:21:31","PET"
"2018-03-09 13:21:29","PET"
"2018-03-09 13:21:29","VAL"
"2018-03-09 13:21:29","PET"
"2018-03-09 13:21:28","VAL"
"2018-03-09 13:21:28","PET"
"2018-03-09 13:21:28","PET"
"2018-03-09 13:21:27","PET"
"2018-03-09 13:21:26","PET"
"2018-03-09 13:21:25","PET"
"2018-03-09 13:21:24","VAL"
"2018-03-09 13:21:23","PET"
"2018-03-09 13:21:22","PET"
"2018-03-09 13:21:20","PET"
"2018-03-09 13:21:20","PET"
"2018-03-09 13:21:20","PET"
"2018-03-09 13:21:19","VAL"
"2018-03-09 13:21:18","PET"
"2018-03-09 13:21:17","PET"
"2018-03-09 13:21:16","PET"
"2018-03-09 13:21:14","PET"
"2018-03-09 13:21:13","PET"
"2018-03-09 13:21:12","PET"
"2018-03-09 13:21:12","PET"
"2018-03-09 13:21:10","PET"
"2018-03-09 13:21:09","VAL"
"2018-03-09 13:21:09","PET"
"2018-03-09 13:21:08","PET"
"2018-03-09 13:21:07","PET"
"2018-03-09 13:21:07","PET"
"2018-03-09 13:21:05","PET"
"2018-03-09 13:21:04","PET"
"2018-03-09 13:21:03","PET"
"2018-03-09 13:21:02","VAL"
"2018-03-09 13:21:02","VAL"
"2018-03-09 13:21:02","VAL"
"2018-03-09 13:21:01","PET"
"2018-03-09 13:21:00","PET"
"2018-03-09 13:20:59","PET"
"2018-03-09 13:20:59","PET"
"2018-03-09 13:20:57","PET"
"2018-03-09 13:20:56","VAL"
"2018-03-09 13:20:56","PET"
"2018-03-09 13:20:54","PET"
"2018-03-09 13:20:54","PET"
"2018-03-09 13:20:54","VAL"
"2018-03-09 13:20:52","PET"
"2018-03-09 13:20:51","PET"
"2018-03-09 13:20:49","PET"
"2018-03-09 13:20:49","PET"
"2018-03-09 13:20:48","VAL"
"2018-03-09 13:20:47","PET"
"2018-03-09 13:20:46","PET"
"2018-03-09 13:20:46","VAL"
"2018-03-09 13:20:46","PET"
"2018-03-09 13:20:44","PET"
"2018-03-09 13:20:43","PET"
"2018-03-09 13:20:43","PET"
"2018-03-09 13:20:43","VAL"
"2018-03-09 13:20:40","VAL"
"2018-03-09 13:20:40","PET"
"2018-03-09 13:20:40","PET"
"2018-03-09 13:20:39","VAL"
"2018-03-09 13:20:38","PET"
"2018-03-09 13:20:37","PET"
"2018-03-09 13:20:36","PET"
"2018-03-09 13:20:36","VAL"
"2018-03-09 13:20:35","PET"
"2018-03-09 13:20:35","VAL"
"2018-03-09 13:20:33","PET"
"2018-03-09 13:20:33","VAL"
"2018-03-09 13:20:33","PET"
"2018-03-09 13:20:32","PET"
"2018-03-09 13:20:30","VAL"
"2018-03-09 13:20:30","PET"
"2018-03-09 13:20:29","PET"
"2018-03-09 13:20:29","VAL"
"2018-03-09 13:20:29","VAL"
"2018-03-09 13:20:28","VAL"
"2018-03-09 13:20:27","PET"
"2018-03-09 13:20:27","PET"
"2018-03-09 13:20:26","PET"
"2018-03-09 13:20:25","PET"
"2018-03-09 13:20:25","VAL"
"2018-03-09 13:20:24","PER"
"2018-03-09 13:20:23","PET"
"2018-03-09 13:20:22","PER"
"2018-03-09 13:20:22","VAL"
"2018-03-09 13:20:22","VAL"
"2018-03-09 13:20:22","VAL"
"2018-03-09 13:20:22","PET"
"2018-03-09 13:20:20","VAL"
"2018-03-09 13:20:19","PET"
"2018-03-09 13:20:19","PET"
"2018-03-09 13:20:18","VAL"
"2018-03-09 13:20:17","VAL"
"2018-03-09 13:20:17","PET"
"2018-03-09 13:20:17","PET"
"2018-03-09 13:20:15","VAL"
"2018-03-09 13:20:15","VAL"
"2018-03-09 13:20:15","PET"
"2018-03-09 13:20:14","PET"
"2018-03-09 13:20:13","VAL"
"2018-03-09 13:20:13","VAL"
"2018-03-09 13:20:13","PET"
"2018-03-09 13:20:13","PET"
"2018-03-09 13:20:13","VAL"
"2018-03-09 13:20:11","VAL"
"2018-03-09 13:20:11","PET"
"2018-03-09 13:20:10","PET"
"2018-03-09 13:20:10","PET"
"2018-03-09 13:20:08","VAL"
"2018-03-09 13:20:08","PET"
"2018-03-09 13:20:08","VAL"
"2018-03-09 13:20:07","PET"
"2018-03-09 13:20:06","PET"
"2018-03-09 13:20:06","VAL"
"2018-03-09 13:20:05","PET"
"2018-03-09 13:20:04","PET"
"2018-03-09 13:20:04","VAL"
"2018-03-09 13:20:03","PET"
"2018-03-09 13:20:03","PET"
"2018-03-09 13:20:02","VAL"
"2018-03-09 13:20:01","PET"
"2018-03-09 13:20:00","PET"
"2018-03-09 13:19:59","PET"
"2018-03-09 13:19:59","PET"
"2018-03-09 13:19:57","PET"
"2018-03-09 13:19:57","PET"
"2018-03-09 13:19:55","PET"
"2018-03-09 13:19:55","PET"
"2018-03-09 13:19:53","PET"
"2018-03-09 13:19:53","PET"
"2018-03-09 13:19:51","PET"
"2018-03-09 13:19:51","PET"
"2018-03-09 13:19:50","PET"
"2018-03-09 13:19:49","PET"
"2018-03-09 13:19:48","PET"
"2018-03-09 13:19:47","PET"
"2018-03-09 13:19:46","PET"
"2018-03-09 13:19:45","PET"
"2018-03-09 13:19:44","PET"
"2018-03-09 13:19:44","PET"
"2018-03-09 13:19:42","PET"
"2018-03-09 13:19:40","PET"
"2018-03-09 13:19:40","PET"
"2018-03-09 13:19:39","VAL"
"2018-03-09 13:19:38","PET"
